"filename", "language", "HTML", "JavaScript", "Less", "CSS", "XML", "SCSS", "comment", "blank", "total"
"d:\毕设\AIForge-frontend\src\service\model.js", "JavaScript", 0, 117, 0, 0, 0, 0, 18, 29, 164
"d:\毕设\AIForge-frontend\src\service\pic.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 2, 13
"d:\毕设\AIForge-frontend\src\service\project.js", "JavaScript", 0, 53, 0, 0, 0, 0, 6, 15, 74
"d:\毕设\AIForge-frontend\src\service\tag.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 2, 7
"d:\毕设\AIForge-frontend\src\service\user.js", "JavaScript", 0, 23, 0, 0, 0, 0, 5, 7, 35
"d:\毕设\AIForge-frontend\src\styles\variables.less", "Less", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\毕设\AIForge-frontend\src\utils\axios.js", "JavaScript", 0, 11, 0, 0, 0, 0, 26, 9, 46
"d:\毕设\AIForge-frontend\src\utils\local.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 2, 11
"d:\毕设\AIForge-frontend\src\utils\utils.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\毕设\AIForge-frontend\src\views\Home.vue", "HTML", 239, 0, 0, 0, 0, 0, 4, 36, 279
"d:\毕设\AIForge-frontend\src\views\Home2.vue", "HTML", 123, 0, 0, 0, 0, 0, 6, 11, 140
"d:\毕设\AIForge-frontend\src\views\Model\ModelDetail.vue", "HTML", 400, 0, 0, 0, 0, 0, 21, 24, 445
"d:\毕设\AIForge-frontend\src\views\Model\ModelDetailOld.vue", "HTML", 219, 0, 0, 0, 0, 0, 0, 41, 260
"d:\毕设\AIForge-frontend\src\views\Model\ModelSquare.vue", "HTML", 366, 0, 0, 0, 0, 0, 4, 22, 392
"d:\毕设\AIForge-frontend\src\views\Model\ModelSquareOld.vue", "HTML", 547, 0, 0, 0, 0, 0, 5, 8, 560
"d:\毕设\AIForge-frontend\src\views\Model\Models.vue", "HTML", 693, 0, 0, 0, 0, 0, 11, 73, 777
"d:\毕设\AIForge-frontend\src\views\data\Data.vue", "HTML", 415, 0, 0, 0, 0, 0, 5, 57, 477
"d:\毕设\AIForge-frontend\src\views\data\DataSet.vue", "HTML", 562, 0, 0, 0, 0, 0, 5, 60, 627
"d:\毕设\AIForge-frontend\src\views\data\test.vue", "HTML", 39, 0, 0, 0, 0, 0, 0, 6, 45
"d:\毕设\AIForge-frontend\src\views\manage\Manage.vue", "HTML", 416, 0, 0, 0, 0, 0, 0, 29, 445
"d:\毕设\AIForge-frontend\src\views\manage\PublicModelManage.vue", "HTML", 82, 0, 0, 0, 0, 0, 0, 6, 88
"d:\毕设\AIForge-frontend\src\views\manage\ReviewModelManage.vue", "HTML", 81, 0, 0, 0, 0, 0, 0, 6, 87
"d:\毕设\AIForge-frontend\src\views\manage\UploadModelManage.vue", "HTML", 188, 0, 0, 0, 0, 0, 0, 12, 200
"d:\毕设\AIForge-frontend\src\views\manage\UserManage.vue", "HTML", 55, 0, 0, 0, 0, 0, 0, 6, 61
"d:\毕设\AIForge-frontend\src\views\other\Pay.vue", "HTML", 85, 0, 0, 0, 0, 0, 0, 8, 93
"d:\毕设\AIForge-frontend\src\views\other\Search.vue", "HTML", 350, 0, 0, 0, 0, 0, 6, 26, 382
"d:\毕设\AIForge-frontend\src\views\project\MyCollect.vue", "HTML", 9, 0, 0, 0, 0, 0, 0, 5, 14
"d:\毕设\AIForge-frontend\src\views\project\MyProject.vue", "HTML", 41, 0, 0, 0, 0, 0, 0, 3, 44
"d:\毕设\AIForge-frontend\src\views\project\Project.vue", "HTML", 134, 0, 0, 0, 0, 0, 1, 9, 144
"d:\毕设\AIForge-frontend\src\views\project\ProjectConfig.vue", "HTML", 1062, 0, 0, 0, 0, 0, 0, 64, 1126
"d:\毕设\AIForge-frontend\src\views\project\RunProject.vue", "HTML", 564, 0, 0, 0, 0, 0, 9, 47, 620
"d:\毕设\AIForge-frontend\src\views\project\tem.vue", "HTML", 24, 0, 0, 0, 0, 0, 0, 1, 25
"Total", "-", 9837, 543, 1, 98, 1, 1714, 250, 1334, 13778
